ID,comentarios
41,clase general inspirador
5,dar usar imaginación
52,curso divertido
9,saber llegar gente producto saber claridad servicios crear
48,dinámica clase
18,jugar crear torre
16,dinámica manejo información parte persona
43,profesor perfectamente programa además buscar prototipo
14,si bien cosas ver cosas
78,dinámica manejo información adecuada
75,hacer trabajo
48,mundo complejo madurar
9,saber claridad estructura dictado clase
73,gusto explicación cabo idea
70,explicación ganar ganancia medio internet
28,mejor programa
72,humor profesor
10,consistir programa tener idea clara vamos hacer creer
34,trabajo equipo
46,verdad aprender si alcanzar objetivo
37,aprender futuro
72,hora importante
68,explicación entender
14,poder saber programa
58,forma ayuda
35,siempre ayuda mejorar punto vista
13,actividad comprender valioso equipo
5,cuenta profesor tema
37,demostrar lograr trabajar equipo
1,gusto reto torre estable
78,verdad ver objetivo
1,grupo sacar ser plan negocio
11,interesante propósito
52,explicación clase fácil entendimiento tema
14,bien equilibrio
5,trabajo trabajo mejor
24,funcionamiento programa
30,actividad grupo
75,forma q hacer cosa principal
53,dinámica sesión desafío grupo solo charla objetivo programa
20,poder analizar sociedad
14,desafío divertido jugar junto
57,trabajar equipo
21,gusto entender poder ir problema país intentar resolver
30,dinámica divertido grupo
20,poder explotar agregar contenido producto conocer mercado entender pasar proyecto
13,reto ver
55,programa hacer realidad
48,incentivo ayuda poder generar idea ayuda saber fallar mejorar idea
69,gusto si
37,programa valioso
70,programa importante verdad interesante
32,grupo formar torre alta
61,juntos hacer buen trabajo
40,extraer gran programa valioso iniciarse
12,información respecto
26,gusto paciencia invitado claridad fácil comprensión incentivo equipo querer seguir parte programa
40,explicación proyecto vamos hacer
5,fondo negocio rentable tener
3,iniciativa traer colegio tema
1,herramienta ayuda resolver tipo
37,reto divertido
76,manera explicar
40,idea nuevo programa colegio
57,conocer conocimiento claramente esencial tener base programa
50,clase hoy interacción actividad parte aprender cosas adelante servir futuro lejano
40,descubrir importancia saber increíble forma
51,gusto aprender
8,actividad divertido
8,hecho decidir proyecto grupo llegar empezar gran empresa
40,aprender programa programa
76,gusto cuenta ser fácilmente tecnología
58,juego construir torre dinámico atención tema
14,idear forma hacer torre alta fideo punta trabajar equipo apoyar complementar
32,crear torre cuenta grupo
27,trabajo torre cuenta llevar
79,aprender marketing prototipo producto saber hacer negocio rentable tecnología
69,aclarar si bien cierto clase cosas personas mayoría cosas saber ayuda resolver mejor futuro
60,manera proyecto
45,gusto vídeo ver mejor realidad personas hacer ser mejorar cosas cambio gracias imaginación si bien
33,entender sesión
23,buen trabajo equipo base proyecto
69,idea profesor hacer manera
26,dinamismo resolución
39,gusto grupo apoyo mínimo
25,torre cuenta equipo llevar proyecto
31,explicación tema
46,forma explicar encargado colegio
10,clase gusto
35,torre alcanzar ver persistencia negocio
11,aprender trabajar equipo
57,gusto hecho poder crear idea contribuir sociedad
11,introducción programa actividad romper hielo empezar programa manera
73,ver modelo presupuesto ámbito económico interesante
43,explicación profesor poder emprender
29,reto dinámico
49,gusto forma profesor clase si
39,concepto clase programa ahora bueno forma aprender
5,tema tema forma seriedad
41,objetivo aprender tecnológico desarrollar apoyo
23,poder resolver
40,saber tecnología herramienta primordial solucionar hoy mundo vez
74,gusto planear forma ser proyecto proyecto
38,confianza poder empezar negocio
31,saber concepto finalidad programa
42,explicación hacer
12,juego profesor preocupación tener idea
69,poder conocer modelo producto servicio
78,poder armar torre
74,alguien llegar gran negocio solo simple
76,poder tener mejor noción
11,manera podre ayudar sociedad
31,interacción exponente clase interesante
28,reto trabajar equipo saber victoria sencillo
2,clase interesante bien
31,si abrir imaginación crear proyecto
51,bueno clase cosas
9,forma trabajar forma
34,gusto idea torre actividad interesante
70,clase vez
9,clase vez carrera
9,charla reto
2,conocer hacer torre alta
1,idea trabajo equipo
37,colegio obligatorio hacer curso
45,hacer estructura divertido
63,información modelo útil futuro
60,cantidad información saber
19,hablar grupo trabajo hacer volar mente creación producto l adelante marcha
12,gusto clase aprender motivo hacer proyecto
64,oportunidad construir torre
41,sistema simple comprensible
9,importancia trabajar equipo grupo idea construcción pie además imposible contar poder hacer cosas vez
